{'epoch': 37, 'loss': '0.99508977', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.991, 'RecAcc': 0.03, 'AdvAcc': 0.78, 'RAvAcc': 0.032, 'classifier': 'ModelB_PV220', 'best_acc': 0.041}
{'epoch': 38, 'loss': '0.96994966', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.989, 'RecAcc': 0.034, 'AdvAcc': 0.786, 'RAvAcc': 0.032, 'classifier': 'ModelB_PV220', 'best_acc': 0.041}
{'epoch': 39, 'loss': '0.94813323', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.986, 'RecAcc': 0.02, 'AdvAcc': 0.775, 'RAvAcc': 0.03, 'classifier': 'ModelB_PV220', 'best_acc': 0.041}
{'epoch': 40, 'loss': '0.95086861', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.989, 'RecAcc': 0.03, 'AdvAcc': 0.784, 'RAvAcc': 0.034, 'classifier': 'ModelB_PV220', 'best_acc': 0.041}
{'epoch': 41, 'loss': '0.94310039', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.989, 'RecAcc': 0.03, 'AdvAcc': 0.784, 'RAvAcc': 0.032, 'classifier': 'ModelB_PV220', 'best_acc': 0.041}
{'epoch': 42, 'loss': '0.92056608', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.986, 'RecAcc': 0.048, 'AdvAcc': 0.782, 'RAvAcc': 0.048, 'classifier': 'ModelB_PV220', 'best_acc': 0.048}
{'epoch': 43, 'loss': '0.93854082', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.986, 'RecAcc': 0.034, 'AdvAcc': 0.78, 'RAvAcc': 0.039, 'classifier': 'ModelB_PV220', 'best_acc': 0.048}
{'epoch': 44, 'loss': '0.92176783', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.989, 'RecAcc': 0.034, 'AdvAcc': 0.78, 'RAvAcc': 0.045, 'classifier': 'ModelB_PV220', 'best_acc': 0.048}
{'epoch': 45, 'loss': '0.92910331', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.991, 'RecAcc': 0.041, 'AdvAcc': 0.784, 'RAvAcc': 0.041, 'classifier': 'ModelB_PV220', 'best_acc': 0.048}
{'epoch': 46, 'loss': '0.92019790', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.989, 'RecAcc': 0.032, 'AdvAcc': 0.784, 'RAvAcc': 0.027, 'classifier': 'ModelB_PV220', 'best_acc': 0.048}
{'epoch': 47, 'loss': '0.90748942', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.991, 'RecAcc': 0.034, 'AdvAcc': 0.78, 'RAvAcc': 0.048, 'classifier': 'ModelB_PV220', 'best_acc': 0.048}
{'epoch': 48, 'loss': '0.88983470', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.984, 'RecAcc': 0.055, 'AdvAcc': 0.784, 'RAvAcc': 0.05, 'classifier': 'ModelB_PV220', 'best_acc': 0.05}
{'epoch': 49, 'loss': '0.88784647', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.989, 'RecAcc': 0.045, 'AdvAcc': 0.777, 'RAvAcc': 0.043, 'classifier': 'ModelB_PV220', 'best_acc': 0.05}
{'epoch': 50, 'loss': '0.88412678', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.984, 'RecAcc': 0.034, 'AdvAcc': 0.782, 'RAvAcc': 0.041, 'classifier': 'ModelB_PV220', 'best_acc': 0.05}
{'epoch': 51, 'loss': '0.89018267', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.986, 'RecAcc': 0.048, 'AdvAcc': 0.78, 'RAvAcc': 0.052, 'classifier': 'ModelB_PV220', 'best_acc': 0.052}
{'epoch': 52, 'loss': '0.88432497', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.991, 'RecAcc': 0.05, 'AdvAcc': 0.782, 'RAvAcc': 0.055, 'classifier': 'ModelB_PV220', 'best_acc': 0.055}
{'epoch': 53, 'loss': '0.87783444', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.991, 'RecAcc': 0.055, 'AdvAcc': 0.77, 'RAvAcc': 0.052, 'classifier': 'ModelB_PV220', 'best_acc': 0.055}
{'epoch': 54, 'loss': '0.87431353', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.986, 'RecAcc': 0.05, 'AdvAcc': 0.782, 'RAvAcc': 0.052, 'classifier': 'ModelB_PV220', 'best_acc': 0.055}
{'epoch': 55, 'loss': '0.86799544', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.989, 'RecAcc': 0.057, 'AdvAcc': 0.78, 'RAvAcc': 0.055, 'classifier': 'ModelB_PV220', 'best_acc': 0.055}
{'epoch': 56, 'loss': '0.85778821', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.986, 'RecAcc': 0.032, 'AdvAcc': 0.784, 'RAvAcc': 0.061, 'classifier': 'ModelB_PV220', 'best_acc': 0.061}
{'epoch': 57, 'loss': '0.87159330', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.986, 'RecAcc': 0.05, 'AdvAcc': 0.782, 'RAvAcc': 0.055, 'classifier': 'ModelB_PV220', 'best_acc': 0.061}
{'epoch': 58, 'loss': '0.87929773', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.984, 'RecAcc': 0.061, 'AdvAcc': 0.782, 'RAvAcc': 0.05, 'classifier': 'ModelB_PV220', 'best_acc': 0.061}
{'epoch': 59, 'loss': '0.88725358', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.986, 'RecAcc': 0.055, 'AdvAcc': 0.784, 'RAvAcc': 0.052, 'classifier': 'ModelB_PV220', 'best_acc': 0.061}
{'epoch': 60, 'loss': '0.86064273', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.984, 'RecAcc': 0.05, 'AdvAcc': 0.784, 'RAvAcc': 0.05, 'classifier': 'ModelB_PV220', 'best_acc': 0.061}
{'epoch': 61, 'loss': '0.85280240', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.989, 'RecAcc': 0.052, 'AdvAcc': 0.782, 'RAvAcc': 0.05, 'classifier': 'ModelB_PV220', 'best_acc': 0.061}
{'epoch': 62, 'loss': '0.86000508', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.986, 'RecAcc': 0.064, 'AdvAcc': 0.789, 'RAvAcc': 0.066, 'classifier': 'ModelB_PV220', 'best_acc': 0.066}
{'epoch': 63, 'loss': '0.86391872', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.989, 'RecAcc': 0.061, 'AdvAcc': 0.78, 'RAvAcc': 0.066, 'classifier': 'ModelB_PV220', 'best_acc': 0.066}
{'epoch': 64, 'loss': '0.85045457', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.989, 'RecAcc': 0.055, 'AdvAcc': 0.784, 'RAvAcc': 0.068, 'classifier': 'ModelB_PV220', 'best_acc': 0.068}
{'epoch': 65, 'loss': '0.85365379', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.991, 'RecAcc': 0.061, 'AdvAcc': 0.782, 'RAvAcc': 0.061, 'classifier': 'ModelB_PV220', 'best_acc': 0.068}
{'epoch': 66, 'loss': '0.84378725', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.991, 'RecAcc': 0.059, 'AdvAcc': 0.791, 'RAvAcc': 0.07, 'classifier': 'ModelB_PV220', 'best_acc': 0.07}
{'epoch': 67, 'loss': '0.84379256', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.986, 'RecAcc': 0.077, 'AdvAcc': 0.786, 'RAvAcc': 0.098, 'classifier': 'ModelB_PV220', 'best_acc': 0.098}
{'epoch': 68, 'loss': '0.84354711', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.991, 'RecAcc': 0.073, 'AdvAcc': 0.78, 'RAvAcc': 0.08, 'classifier': 'ModelB_PV220', 'best_acc': 0.098}
{'epoch': 69, 'loss': '0.82630742', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.984, 'RecAcc': 0.084, 'AdvAcc': 0.786, 'RAvAcc': 0.084, 'classifier': 'ModelB_PV220', 'best_acc': 0.098}
{'epoch': 70, 'loss': '0.82197428', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.989, 'RecAcc': 0.084, 'AdvAcc': 0.78, 'RAvAcc': 0.086, 'classifier': 'ModelB_PV220', 'best_acc': 0.098}
{'epoch': 71, 'loss': '0.82338452', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.984, 'RecAcc': 0.08, 'AdvAcc': 0.784, 'RAvAcc': 0.082, 'classifier': 'ModelB_PV220', 'best_acc': 0.098}
