{'epoch': 51, 'loss': '98.73484039', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.982, 'RecAcc': 0.007, 'AdvAcc': 0.924, 'RAvAcc': 0.004, 'classifier': 'ModelB_FV500', 'best_acc': 0.01}
{'epoch': 52, 'loss': '98.72325134', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.983, 'RecAcc': 0.008, 'AdvAcc': 0.923, 'RAvAcc': 0.008, 'classifier': 'ModelB_FV500', 'best_acc': 0.01}
{'epoch': 53, 'loss': '98.47375488', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.983, 'RecAcc': 0.007, 'AdvAcc': 0.922, 'RAvAcc': 0.005, 'classifier': 'ModelB_FV500', 'best_acc': 0.01}
{'epoch': 54, 'loss': '98.43533325', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.982, 'RecAcc': 0.005, 'AdvAcc': 0.922, 'RAvAcc': 0.006, 'classifier': 'ModelB_FV500', 'best_acc': 0.01}
{'epoch': 55, 'loss': '98.66257477', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.983, 'RecAcc': 0.007, 'AdvAcc': 0.922, 'RAvAcc': 0.007, 'classifier': 'ModelB_FV500', 'best_acc': 0.01}
{'epoch': 56, 'loss': '98.58000946', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.983, 'RecAcc': 0.006, 'AdvAcc': 0.921, 'RAvAcc': 0.006, 'classifier': 'ModelB_FV500', 'best_acc': 0.01}
{'epoch': 57, 'loss': '98.48658752', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.982, 'RecAcc': 0.007, 'AdvAcc': 0.923, 'RAvAcc': 0.009, 'classifier': 'ModelB_FV500', 'best_acc': 0.01}
{'epoch': 58, 'loss': '98.24643707', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.983, 'RecAcc': 0.005, 'AdvAcc': 0.921, 'RAvAcc': 0.007, 'classifier': 'ModelB_FV500', 'best_acc': 0.01}
{'epoch': 59, 'loss': '98.31848907', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.983, 'RecAcc': 0.009, 'AdvAcc': 0.92, 'RAvAcc': 0.006, 'classifier': 'ModelB_FV500', 'best_acc': 0.01}
{'epoch': 60, 'loss': '98.16736603', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.983, 'RecAcc': 0.005, 'AdvAcc': 0.924, 'RAvAcc': 0.007, 'classifier': 'ModelB_FV500', 'best_acc': 0.01}
