{'epoch': 46, 'loss': '0.04581888', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.016, 'AdvAcc': 0.316, 'RAvAcc': 0.016, 'best_acc': 0.025}
{'epoch': 47, 'loss': '0.02728366', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.016, 'AdvAcc': 0.316, 'RAvAcc': 0.016, 'best_acc': 0.025}
{'epoch': 48, 'loss': '0.02020781', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.025, 'AdvAcc': 0.316, 'RAvAcc': 0.023, 'best_acc': 0.025}
{'epoch': 49, 'loss': '0.01775597', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.02, 'AdvAcc': 0.316, 'RAvAcc': 0.023, 'best_acc': 0.025}
{'epoch': 50, 'loss': '0.01682568', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.023, 'AdvAcc': 0.316, 'RAvAcc': 0.023, 'best_acc': 0.025}
{'epoch': 51, 'loss': '0.01637388', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.027, 'AdvAcc': 0.316, 'RAvAcc': 0.027, 'best_acc': 0.027}
{'epoch': 52, 'loss': '0.01615240', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.027, 'AdvAcc': 0.316, 'RAvAcc': 0.027, 'best_acc': 0.027}
{'epoch': 53, 'loss': '0.01586363', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.027, 'AdvAcc': 0.316, 'RAvAcc': 0.03, 'best_acc': 0.03}
{'epoch': 54, 'loss': '0.01593931', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.02, 'AdvAcc': 0.316, 'RAvAcc': 0.023, 'best_acc': 0.03}
{'epoch': 55, 'loss': '0.01878269', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.023, 'AdvAcc': 0.316, 'RAvAcc': 0.018, 'best_acc': 0.03}
{'epoch': 56, 'loss': '0.01718723', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.023, 'AdvAcc': 0.316, 'RAvAcc': 0.023, 'best_acc': 0.03}
{'epoch': 57, 'loss': '0.01578933', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.023, 'AdvAcc': 0.316, 'RAvAcc': 0.025, 'best_acc': 0.03}
{'epoch': 58, 'loss': '0.01540778', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.018, 'AdvAcc': 0.316, 'RAvAcc': 0.02, 'best_acc': 0.03}
{'epoch': 59, 'loss': '0.01574495', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.03, 'AdvAcc': 0.316, 'RAvAcc': 0.032, 'best_acc': 0.032}
{'epoch': 60, 'loss': '0.01529050', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.032, 'AdvAcc': 0.316, 'RAvAcc': 0.032, 'best_acc': 0.032}
{'epoch': 61, 'loss': '0.01506238', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.032, 'AdvAcc': 0.316, 'RAvAcc': 0.034, 'best_acc': 0.034}
{'epoch': 62, 'loss': '0.01596449', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.023, 'AdvAcc': 0.316, 'RAvAcc': 0.018, 'best_acc': 0.034}
{'epoch': 63, 'loss': '0.01679690', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.025, 'AdvAcc': 0.316, 'RAvAcc': 0.023, 'best_acc': 0.034}
{'epoch': 64, 'loss': '0.02179116', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.014, 'AdvAcc': 0.316, 'RAvAcc': 0.011, 'best_acc': 0.034}
{'epoch': 65, 'loss': '0.01831016', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.025, 'AdvAcc': 0.316, 'RAvAcc': 0.023, 'best_acc': 0.034}
{'epoch': 66, 'loss': '0.01576110', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.032, 'AdvAcc': 0.316, 'RAvAcc': 0.03, 'best_acc': 0.034}
{'epoch': 67, 'loss': '0.01468454', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.027, 'AdvAcc': 0.316, 'RAvAcc': 0.03, 'best_acc': 0.034}
{'epoch': 68, 'loss': '0.01454979', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.03, 'AdvAcc': 0.316, 'RAvAcc': 0.03, 'best_acc': 0.034}
{'epoch': 69, 'loss': '0.01447962', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.032, 'AdvAcc': 0.316, 'RAvAcc': 0.034, 'best_acc': 0.034}
{'epoch': 70, 'loss': '0.01786425', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.023, 'AdvAcc': 0.316, 'RAvAcc': 0.025, 'best_acc': 0.034}
{'epoch': 71, 'loss': '0.01563098', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.03, 'AdvAcc': 0.316, 'RAvAcc': 0.032, 'best_acc': 0.034}
{'epoch': 72, 'loss': '0.01471881', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.027, 'AdvAcc': 0.316, 'RAvAcc': 0.03, 'best_acc': 0.034}
{'epoch': 73, 'loss': '0.02462944', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.009, 'AdvAcc': 0.316, 'RAvAcc': 0.009, 'best_acc': 0.034}
{'epoch': 74, 'loss': '0.01756548', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.025, 'AdvAcc': 0.316, 'RAvAcc': 0.023, 'best_acc': 0.034}
{'epoch': 75, 'loss': '0.01467968', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.025, 'AdvAcc': 0.316, 'RAvAcc': 0.03, 'best_acc': 0.034}
{'epoch': 76, 'loss': '0.01683307', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.02, 'AdvAcc': 0.316, 'RAvAcc': 0.02, 'best_acc': 0.034}
{'epoch': 77, 'loss': '0.01832546', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.023, 'AdvAcc': 0.316, 'RAvAcc': 0.023, 'best_acc': 0.034}
{'epoch': 78, 'loss': '0.01456385', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.03, 'AdvAcc': 0.316, 'RAvAcc': 0.032, 'best_acc': 0.034}
{'epoch': 79, 'loss': '0.01394800', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.034, 'AdvAcc': 0.316, 'RAvAcc': 0.034, 'best_acc': 0.034}
{'epoch': 80, 'loss': '0.01370032', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.032, 'AdvAcc': 0.316, 'RAvAcc': 0.034, 'best_acc': 0.034}
{'epoch': 81, 'loss': '0.01366191', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.034, 'AdvAcc': 0.316, 'RAvAcc': 0.036, 'best_acc': 0.036}
{'epoch': 82, 'loss': '0.01342863', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.036, 'AdvAcc': 0.316, 'RAvAcc': 0.036, 'best_acc': 0.036}
{'epoch': 83, 'loss': '0.01717681', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.011, 'AdvAcc': 0.316, 'RAvAcc': 0.014, 'best_acc': 0.036}
{'epoch': 84, 'loss': '0.02851780', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.023, 'AdvAcc': 0.316, 'RAvAcc': 0.023, 'best_acc': 0.036}
{'epoch': 85, 'loss': '0.01490906', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.027, 'AdvAcc': 0.316, 'RAvAcc': 0.03, 'best_acc': 0.036}
{'epoch': 86, 'loss': '0.01361918', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.023, 'AdvAcc': 0.316, 'RAvAcc': 0.02, 'best_acc': 0.036}
{'epoch': 87, 'loss': '0.01338667', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.027, 'AdvAcc': 0.316, 'RAvAcc': 0.023, 'best_acc': 0.036}
{'epoch': 88, 'loss': '0.01320092', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.02, 'AdvAcc': 0.316, 'RAvAcc': 0.02, 'best_acc': 0.036}
{'epoch': 89, 'loss': '0.01361229', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.023, 'AdvAcc': 0.316, 'RAvAcc': 0.023, 'best_acc': 0.036}
{'epoch': 90, 'loss': '0.01358261', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.025, 'AdvAcc': 0.316, 'RAvAcc': 0.023, 'best_acc': 0.036}
{'epoch': 91, 'loss': '0.01347658', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.03, 'AdvAcc': 0.316, 'RAvAcc': 0.025, 'best_acc': 0.036}
{'epoch': 92, 'loss': '0.01288774', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.03, 'AdvAcc': 0.316, 'RAvAcc': 0.032, 'best_acc': 0.036}
{'epoch': 93, 'loss': '0.01268441', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.036, 'AdvAcc': 0.316, 'RAvAcc': 0.036, 'best_acc': 0.036}
{'epoch': 94, 'loss': '0.01262590', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.025, 'AdvAcc': 0.316, 'RAvAcc': 0.027, 'best_acc': 0.036}
{'epoch': 95, 'loss': '0.01253124', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.03, 'AdvAcc': 0.316, 'RAvAcc': 0.027, 'best_acc': 0.036}
{'epoch': 96, 'loss': '0.01238822', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.032, 'AdvAcc': 0.316, 'RAvAcc': 0.032, 'best_acc': 0.036}
{'epoch': 97, 'loss': '0.01267489', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.032, 'AdvAcc': 0.316, 'RAvAcc': 0.03, 'best_acc': 0.036}
{'epoch': 98, 'loss': '0.01250895', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.032, 'AdvAcc': 0.316, 'RAvAcc': 0.034, 'best_acc': 0.036}
{'epoch': 99, 'loss': '0.01237722', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.03, 'AdvAcc': 0.316, 'RAvAcc': 0.03, 'best_acc': 0.036}
{'epoch': 100, 'loss': '0.01224483', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.03, 'AdvAcc': 0.316, 'RAvAcc': 0.032, 'best_acc': 0.036}
{'epoch': 101, 'loss': '0.01213865', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.03, 'AdvAcc': 0.316, 'RAvAcc': 0.032, 'best_acc': 0.036}
{'epoch': 102, 'loss': '0.01230778', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.027, 'AdvAcc': 0.316, 'RAvAcc': 0.032, 'best_acc': 0.036}
{'epoch': 103, 'loss': '0.01212209', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.036, 'AdvAcc': 0.316, 'RAvAcc': 0.034, 'best_acc': 0.036}
{'epoch': 104, 'loss': '0.01250554', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.03, 'AdvAcc': 0.316, 'RAvAcc': 0.03, 'best_acc': 0.036}
{'epoch': 105, 'loss': '0.01427601', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.036, 'AdvAcc': 0.316, 'RAvAcc': 0.032, 'best_acc': 0.036}
{'epoch': 106, 'loss': '0.01341745', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.032, 'AdvAcc': 0.316, 'RAvAcc': 0.032, 'best_acc': 0.036}
{'epoch': 107, 'loss': '0.01253283', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.036, 'AdvAcc': 0.316, 'RAvAcc': 0.036, 'best_acc': 0.036}
{'epoch': 108, 'loss': '0.01535832', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.016, 'AdvAcc': 0.316, 'RAvAcc': 0.016, 'best_acc': 0.036}
{'epoch': 109, 'loss': '0.01749427', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.023, 'AdvAcc': 0.316, 'RAvAcc': 0.02, 'best_acc': 0.036}
{'epoch': 110, 'loss': '0.01458818', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.039, 'AdvAcc': 0.316, 'RAvAcc': 0.041, 'best_acc': 0.041}
{'epoch': 111, 'loss': '0.01239257', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.041, 'AdvAcc': 0.316, 'RAvAcc': 0.036, 'best_acc': 0.041}
{'epoch': 112, 'loss': '0.01994711', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.027, 'AdvAcc': 0.316, 'RAvAcc': 0.025, 'best_acc': 0.041}
