{'epoch': 39, 'loss': '0.33483395', 'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.971, 'RecAcc': 0.784, 'AdvAcc': 0.515, 'RAvAcc': 0.779, 'classifier': 'LightweightFVCNN_FV500', 'best_acc': 0.779}
{'epoch': 40, 'loss': '0.31275919', 'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.97, 'RecAcc': 0.785, 'AdvAcc': 0.517, 'RAvAcc': 0.783, 'classifier': 'LightweightFVCNN_FV500', 'best_acc': 0.783}
{'epoch': 41, 'loss': '0.29397199', 'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.973, 'RecAcc': 0.795, 'AdvAcc': 0.52, 'RAvAcc': 0.786, 'classifier': 'LightweightFVCNN_FV500', 'best_acc': 0.786}
{'epoch': 42, 'loss': '0.27691785', 'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.97, 'RecAcc': 0.79, 'AdvAcc': 0.517, 'RAvAcc': 0.791, 'classifier': 'LightweightFVCNN_FV500', 'best_acc': 0.791}
{'epoch': 43, 'loss': '0.27857083', 'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.969, 'RecAcc': 0.806, 'AdvAcc': 0.518, 'RAvAcc': 0.811, 'classifier': 'LightweightFVCNN_FV500', 'best_acc': 0.811}
{'epoch': 44, 'loss': '0.25042787', 'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.97, 'RecAcc': 0.806, 'AdvAcc': 0.518, 'RAvAcc': 0.802, 'classifier': 'LightweightFVCNN_FV500', 'best_acc': 0.811}
{'epoch': 45, 'loss': '0.23699768', 'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.971, 'RecAcc': 0.814, 'AdvAcc': 0.512, 'RAvAcc': 0.809, 'classifier': 'LightweightFVCNN_FV500', 'best_acc': 0.811}
{'epoch': 46, 'loss': '0.23284726', 'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.971, 'RecAcc': 0.827, 'AdvAcc': 0.52, 'RAvAcc': 0.827, 'classifier': 'LightweightFVCNN_FV500', 'best_acc': 0.827}
{'epoch': 47, 'loss': '0.21301651', 'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.971, 'RecAcc': 0.828, 'AdvAcc': 0.514, 'RAvAcc': 0.827, 'classifier': 'LightweightFVCNN_FV500', 'best_acc': 0.827}
{'epoch': 48, 'loss': '0.20727955', 'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.969, 'RecAcc': 0.825, 'AdvAcc': 0.516, 'RAvAcc': 0.823, 'classifier': 'LightweightFVCNN_FV500', 'best_acc': 0.827}
{'epoch': 49, 'loss': '0.19997998', 'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.971, 'RecAcc': 0.84, 'AdvAcc': 0.513, 'RAvAcc': 0.837, 'classifier': 'LightweightFVCNN_FV500', 'best_acc': 0.837}
{'epoch': 50, 'loss': '0.19890225', 'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.971, 'RecAcc': 0.839, 'AdvAcc': 0.519, 'RAvAcc': 0.835, 'classifier': 'LightweightFVCNN_FV500', 'best_acc': 0.837}
